,Dallas
1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,"[-5.56832435e+00 -2.70855745e+00  2.38727469e-01  2.17134294e-01
  8.97462264e-01  9.66902260e-01 -4.28759457e-01  1.55076628e+00
  8.62848245e-01  1.31462108e+00  1.46413536e+00  1.46696252e+00
  1.86951162e+00  1.35504954e+00  1.73073465e+00  1.81191421e+00
  1.20888281e+00  5.04536945e-01  1.10340292e-01 -7.19508183e+00
 -1.65971371e+00 -9.52059770e-01 -5.67491237e-01 -1.65589680e-01
  3.98564857e-02  9.18985719e-01  2.64732760e-01  7.89357987e-01
  6.26602884e-01  8.92009403e-01  1.09294721e+00  7.93911463e-01
  1.08424967e+00  1.25215078e+00  1.56825586e+00  1.35745047e+00
  1.63305162e+00  1.45956717e+00  4.87477900e-01 -9.24593947e+00
  1.29166589e+00  7.17183717e-01  2.33584425e-01  3.81171973e-01
  2.59803406e-01  6.42765616e-02  4.59660102e-01  9.13769078e-02
 -8.52936376e-01  1.33456218e-01  4.01748321e-01  3.16835072e-01
  2.95439466e-01  1.54146294e-01 -6.35980242e-02  9.60669474e-02
 -1.55840289e-02 -2.01755096e+00  1.85493025e-02 -2.95491329e-01
  6.78397815e+00  3.95334552e+00  1.21359494e+00 -1.08019622e+00
  4.72748320e-01 -3.12899590e-01  7.38684103e-01 -6.14820362e-01
  4.69117188e-01 -4.99440938e-01 -2.84952741e-01 -3.84085236e-02
 -1.59037900e-01 -4.38516653e-01 -2.57514916e-01  7.04077640e-02
 -1.45705544e+00 -5.59395298e-01  4.47222424e-01 -6.77706087e+00
  3.76787585e+00  1.37448354e+00  9.66155129e-01 -7.78577653e-01
  5.59708404e-01  1.14761900e+00  4.10967033e-01  1.11664150e+00
 -9.39287244e-02  8.04675348e-01  9.37366999e-01 -3.05302499e-01
 -3.34868692e-01  3.79995395e-02 -6.93116619e-01 -3.22490563e-01
 -1.03256164e+00 -9.77195483e-01 -1.16764703e+00 -3.74800123e+00
 -5.09132653e+00 -2.60921325e+00 -3.62161407e-02  1.63852079e+00
 -3.63172592e-01  8.73311709e-01 -6.97965823e-01  4.31643145e-01
 -3.68234069e-01  6.93798304e-03  2.50807161e-01  5.74998909e-01
  8.68724206e-01  1.13414078e+00  1.34725675e+00  1.25175763e+00
  1.69970282e+00  1.66406552e+00  1.66541075e+00 -2.57134364e+00
 -3.44082708e+00 -1.62159994e+00 -1.00346046e+00 -1.47765347e+00
 -4.44224469e-01 -6.00362710e-02  4.61258012e-02  2.75311933e-03
 -3.72347211e-01 -5.00130270e-01  1.82157441e-02 -1.33059680e+00
  1.60744749e+00 -1.38080139e+00  8.09654297e-01  1.78503890e-01
  2.07835860e-01  1.55461483e+00  3.44669008e+00  5.42964759e+00
  8.61632856e-01 -1.33978448e+00 -8.66961982e-01 -8.03626330e-01
 -3.74707626e-01 -6.15203607e-01 -1.07461188e+00 -7.80287452e-01
 -8.54748159e-01 -1.45904971e+00 -4.90388473e-01 -1.15477755e+00
 -8.48106209e-01 -3.95793425e-01  2.45101058e-01  8.05995518e-01
  2.23307377e+00  1.62879946e+00  4.03258618e+00  2.92065873e+00
 -4.42768249e-01 -9.42249900e-01 -8.38421510e-01 -5.42166870e-01
 -1.91693309e-02 -1.76099529e+00 -2.73687850e+00  4.26389015e-01
  4.90086991e-01  4.03296402e-01  4.98769937e-01  3.85390228e-02
  3.96360754e-01  2.85509471e+00  1.04482720e+00 -1.31307713e+00
  5.41468707e-01  4.91968101e-01  5.07465184e-01  2.57126966e+00
  9.57799715e+00 -1.76203533e+00  1.16938152e+00 -6.22864402e-01
  5.82882565e-01 -2.19140458e+00 -3.02287229e+00  4.40367981e-01
 -2.41760684e-01  3.73617294e-01 -1.23030900e-01 -5.18374122e-01
  8.74006071e-01 -2.41366117e+00 -3.52268229e+00  1.26482456e+00
  5.86654745e-01  1.07337097e+00  9.42916064e-01 -7.97514130e-01
 -2.00585655e-01 -1.70684073e-01 -1.40782470e-01 -1.10880832e-01
 -8.09791323e-02 -5.10773277e-02 -2.11753635e-02  8.72682288e-03
  3.86292973e-02  6.85321242e-02  9.84353623e-02  1.28339060e-01
  1.58243251e-01  1.88147951e-01  2.18053149e-01  2.47958810e-01
  2.77864864e-01  3.07771205e-01  3.37677684e-01  3.67584159e-01
 -1.87626365e+00 -1.17553363e-01 -7.64343750e-01  1.58146297e-01
 -3.54694650e-01  2.24175097e-01  7.70905766e-01 -7.34972285e-02
  7.82440925e-01  1.43998307e+00  1.47213502e+00 -9.75728594e-01
  3.40195988e-01 -2.52126071e-01 -6.92322749e-01 -3.46162436e-01
  1.42920566e-01  4.31167451e-01  6.03632152e-01  7.56799761e-01
  2.12888537e+01  1.32760048e+01  5.22835527e+00 -2.79448634e+00
 -7.37841299e-01 -2.05521715e+00 -1.76526963e+00 -1.71373055e+00
 -1.67126043e+00 -6.02813677e-01 -1.64087425e+00 -1.42595481e+00
 -1.75716583e+00 -1.25582391e+00 -7.63930939e-01 -1.39605554e+00
 -8.72935163e-01 -4.68037816e+00 -6.02675229e+00 -6.96290904e+00
 -2.15728886e+01 -1.33771200e+01 -5.21614576e+00  2.15674868e+00
  1.11644384e+00  2.45815659e+00  2.03010826e+00  2.33476525e+00
  1.97295189e+00  9.94936681e-01  1.71920201e+00  2.02358775e+00
  1.87960253e+00  1.01823925e+00  1.51491238e+00  1.27637916e+00
  1.32609256e+00  2.48655699e+00  5.86787105e+00  9.65940000e+00
 -8.48341051e-02 -7.37666022e-01  3.56745109e-01  2.21616195e-02
  1.54199310e-01  1.98299805e-01 -4.45170691e-02 -1.08495022e-01
 -1.23079926e-02 -1.35089741e-02 -2.51292311e-02 -1.82901595e-01
 -4.02497734e-01  1.01875875e-01 -6.09397363e-01  3.02772758e-01
 -5.12303141e-01 -3.35940541e-01  2.30735074e+00  1.29587014e+00
 -2.85748491e+00  7.56591348e-01 -1.30947104e-02 -8.03829851e-04
  5.36435870e-01 -7.93584405e-01  1.80198692e-01  3.75734902e-01
  2.68230190e-02  4.13090757e-01  2.06038597e-01  1.68665349e-01
 -1.19576721e+00 -3.30331833e-02 -4.14161681e-02  7.27739249e-01
 -2.00750157e-01  5.05344751e-01 -4.21485000e-01  3.33055149e+00
 -3.38632163e+00  1.65476553e+00  5.92958086e-01 -2.33378195e-02
  1.42094523e+00  3.47129485e-01  5.84478520e-01  6.34787027e-01
  4.37565412e-01  5.93171575e-01  7.39808187e-01  5.83956149e-01
  7.58617508e-01  1.01898937e+00  6.94299808e-01  6.26914702e-01
  1.10513507e+00 -9.96837875e-02 -2.41226780e+00 -4.20208615e+00
  1.66980844e+00]"
6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
